no,plot,block,position,watering,seedmix,brickType,brickRatio,acid,grassMass,forbMass,vegCov4,vegCov6,vegCov8,vegCov10,vegCov11,vegCov13,specPres,specAbs,conf.low,conf.high,biomass,grassRatio,estRate,f.watering
1,A01,A,o,0.5,Standard,Clean,30,Acid,12.1,4.8,35.1,47.8,50.1,67.8,68.4,68.4,11,5,1,1,16.9,0.7159763313609467,0.6875,Dry
2,A02,A,o,0.5,Standard,Clean,30,Control,10.1,3.5,17.5,43.6,26.3,27.6,53.8,45.6,12,4,2,2,13.6,0.7426470588235294,0.75,Dry
3,A03,A,o,0.5,Standard,Clean,5,Acid,11,4.1,29.7,41.1,47.1,39.1,63.3,63.2,12,4,3,3,15.1,0.728476821192053,0.75,Dry
4,A04,A,o,0.5,Standard,Clean,5,Control,20.3,2.1,23.3,44.9,15.9,40.9,61.6,60.4,12,4,4,4,22.400000000000002,0.90625,0.75,Dry
5,A05,A,o,0.5,Robust,Clean,30,Acid,2.9,11.7,20.6,39.6,51.4,67.3,67.7,59.1,12,8,5,5,14.6,0.19863013698630136,0.6,Dry
6,A06,A,o,0.5,Robust,Clean,30,Control,1.9,10,18.1,36.8,39.2,30,55.6,55.5,11,9,6,6,11.9,0.15966386554621848,0.55,Dry
7,A07,A,o,0.5,Robust,Clean,5,Acid,6.1,10.9,27.6,50.5,55.2,41,72.4,53.1,12,8,7,7,17,0.3588235294117647,0.6,Dry
8,A08,A,o,0.5,Robust,Clean,5,Control,5.6,10.9,9.4,21.6,22.4,23.5,53.3,57.2,13,7,8,8,16.5,0.33939393939393936,0.65,Dry
9,A09,A,o,0.5,Intermediate,Clean,30,Acid,8.3,12,12.4,29.5,31.8,33.5,56,53,10,10,9,9,20.3,0.4088669950738916,0.5,Dry
10,A10,A,o,0.5,Intermediate,Clean,30,Control,14.8,3,12.7,25.2,27.7,30.2,49.6,55.8,10,10,10,10,17.8,0.8314606741573034,0.5,Dry
11,A11,A,o,0.5,Intermediate,Clean,5,Acid,6.5,11.7,16.1,31.5,40.8,38.7,64,69,11,9,11,11,18.2,0.35714285714285715,0.55,Dry
12,A12,A,o,0.5,Intermediate,Clean,5,Control,9.7,10.7,7.6,27.2,20.2,21.5,51.7,47.6,15,5,12,12,20.4,0.47549019607843135,0.75,Dry
13,A13,A,o,0.5,Vigorous,Clean,30,Acid,10.2,5.6,20.1,24.5,34.5,35.9,55.5,51,11,9,13,13,15.799999999999999,0.6455696202531646,0.55,Dry
14,A14,A,o,0.5,Vigorous,Clean,30,Control,6.1,15.7,14.2,17.3,28.4,31.5,60.2,32.5,7,13,14,14,21.799999999999997,0.27981651376146793,0.35,Dry
15,A15,A,o,0.5,Vigorous,Clean,5,Acid,2.7,16.1,17.2,25.1,37.1,36.7,64.2,70.6,11,9,15,15,18.8,0.14361702127659576,0.55,Dry
16,A16,A,o,0.5,Vigorous,Clean,5,Control,14.5,12.7,7.6,25.7,27.2,28.1,62.1,52.3,10,10,16,16,27.2,0.5330882352941176,0.5,Dry
21,B01,B,c,0.5,Standard,Clean,30,Acid,13.2,3,30.2,47,49.8,63.9,64.1,62.5,14,2,21,21,16.2,0.8148148148148148,0.875,Dry
22,B02,B,c,0.5,Standard,Clean,30,Control,13.2,2.7,27.2,41,34.5,67.2,75.6,61.7,14,2,22,22,15.899999999999999,0.8301886792452831,0.875,Dry
23,B03,B,c,0.5,Standard,Clean,5,Acid,15.3,3.2,41.4,41.1,52.7,44.5,66.8,63.5,11,5,23,23,18.5,0.827027027027027,0.6875,Dry
24,B04,B,c,0.5,Standard,Clean,5,Control,13.2,1.2,24.1,54.7,17.2,37.3,66.7,50.9,10,6,24,24,14.399999999999999,0.9166666666666667,0.625,Dry
25,B05,B,c,0.5,Robust,Clean,30,Acid,3.3,10.9,30.7,45.3,50.8,42.9,70.9,70,11,9,25,25,14.2,0.2323943661971831,0.55,Dry
26,B06,B,c,0.5,Robust,Clean,30,Control,1.4,10.9,34.3,60.3,73.7,81.6,87.1,71,13,7,26,26,12.3,0.1138211382113821,0.65,Dry
27,B07,B,c,0.5,Robust,Clean,5,Acid,2.7,10.5,25.8,45.1,55,69.7,69.9,62.1,11,9,27,27,13.2,0.20454545454545456,0.55,Dry
