no	plot	block	watering	brickType	seedmix	seetDensity	brickRatio	acid	grassMass	forbMass	specPres	specAbs	estRate
1	A01	A	0.5	clean	standard	20	30	1	12.1	4.8	11	5	0.6875
2	A02	A	0.5	clean	standard	20	30	0	10.1	3.5	12	4	0.75
3	A03	A	0.5	clean	standard	20	5	1	11	4.1	12	4	0.75
4	A04	A	0.5	clean	standard	20	5	0	20.3	2.1	12	4	0.75
5	A05	A	0.5	clean	robust	4	30	1	2.9	11.7	12	8	0.6
6	A06	A	0.5	clean	robust	4	30	0	1.9	10.0	11	9	0.55
7	A07	A	0.5	clean	robust	4	5	1	6.1	10.9	12	8	0.6
8	A08	A	0.5	clean	robust	4	5	0	5.6	10.9	13	7	0.65
9	A09	A	0.5	clean	intermediate	4	30	1	8.3	12.0	10	10	0.5
10	A10	A	0.5	clean	intermediate	4	30	0	14.8	3.0	10	10	0.5
11	A11	A	0.5	clean	intermediate	4	5	1	6.5	11.7	11	9	0.55
12	A12	A	0.5	clean	intermediate	4	5	0	9.7	10.7	15	5	0.75
13	A13	A	0.5	clean	vigorous	4	30	1	10.2	5.6	11	9	0.55
14	A14	A	0.5	clean	vigorous	4	30	0	6.1	15.7	7	13	0.35
15	A15	A	0.5	clean	vigorous	4	5	1	2.7	16.1	11	9	0.55
16	A16	A	0.5	clean	vigorous	4	5	0	14.5	12.7	10	10	0.5
17	Ae1	A	0.5	demolition	robust	4	30	1	2.8	8.7	10	10	0.5
18	Ae2	A	0.5	demolition	robust	4	5	1	1.1	14.9	10	10	0.5
19	Ae3	A	0.5	demolition	vigorous	4	30	1	12	2.8	10	10	0.5
20	Ae4	A	0.5	demolition	vigorous	4	5	1	7.2	10.2	12	8	0.6
21	B01	B	0.5	clean	standard	20	30	1	13.2	3.0	14	2	0.875
22	B02	B	0.5	clean	standard	20	30	0	13.2	2.7	14	2	0.875
23	B03	B	0.5	clean	standard	20	5	1	15.3	3.2	11	5	0.6875
24	B04	B	0.5	clean	standard	20	5	0	13.2	1.2	10	6	0.625
25	B05	B	0.5	clean	robust	4	30	1	3.3	10.9	11	9	0.55
26	B06	B	0.5	clean	robust	4	30	0	1.4	10.9	13	7	0.65
27	B07	B	0.5	clean	robust	4	5	1	2.7	10.5	11	9	0.55
28	B08	B	0.5	clean	robust	4	5	0	6	7.2	12	8	0.6
29	B09	B	0.5	clean	intermediate	4	30	1	6	8.9	11	9	0.55
30	B10	B	0.5	clean	intermediate	4	30	0	4.7	9.1	12	8	0.6
31	B11	B	0.5	clean	intermediate	4	5	1	4.2	10.8	12	8	0.6
32	B12	B	0.5	clean	intermediate	4	5	0	5.1	6.7	8	12	0.4
33	B13	B	0.5	clean	vigorous	4	30	1	9.4	1.5	10	10	0.5
34	B14	B	0.5	clean	vigorous	4	30	0	14.6	0.8	10	10	0.5
35	B15	B	0.5	clean	vigorous	4	5	1	2.9	10.5	10	10	0.5
36	B16	B	0.5	clean	vigorous	4	5	0	8.8	5.4	11	9	0.55
37	Be1	B	0.5	demolition	robust	4	30	1	3.9	3.3	12	8	0.6
